TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,joint0,joint1,joint2,joint3,joint4,joint5
0,0,0.1,-0.05176380902050414,0.1931851652578137,0.09999999999999998,-75,90.0,-90.0,0.07744484305821794,0.5897700867506473,-1.4189710912855742,-0.47308901926319824,1.6768676596572718,1.881058880750156,-2.803666458911976
0,0,0.1,-0.10000000000000003,0.17320508075688773,0.09999999999999998,-60,90.0,-90.0,0.10924655330994293,0.6377973579776255,-1.2656710218876561,-0.9162731086616719,1.6356466594444306,1.6647521302524135,-2.526481169104867
0,0,0.1,-0.14142135623730953,0.14142135623730953,0.09999999999999998,-45,90.0,-90.0,0.12917512569228715,0.6858511454698428,-1.1810529200263047,-1.268377316261119,1.4942218473379885,1.5068112152337598,-2.2608733229176017
0,0,0.1,-0.17320508075688779,0.1,0.09999999999999998,-30,90.0,-90.0,0.13011481116848142,0.7231010604116083,-1.1698863422901467,-1.573998521804875,1.2711307426591674,1.4465952045063832,-1.9507198796389094
0,0,0.1,-0.19318516525781368,0.05176380902050415,0.09999999999999996,-15,90.0,-90.0,0.11271698986978898,0.7187643878019329,-1.2531771408384302,-1.8506098950685046,0.9814373777854094,1.5497400497910454,-1.601428583074932
0,0,0.1,-0.2,0.0,0.1,0,90.0,-90.0,0.10589805342930425,0.5940834077543563,-1.3938103727119782,-2.088407205442201,0.6226352994521577,1.8511857772077953,-1.3740879459221695
0,0,0.1,-0.19318516525781365,-0.05176380902050413,0.09999999999999994,15,90.0,-90.0,0.06350626684940003,0.2841422688968003,-1.409459980019562,-2.326250368000305,0.028147433831626358,2.1641606023931086,-1.5557025822239756
0,0,0.1,-0.17320508075688779,-0.1,0.1,30,90.0,-90.0,0.0732484601158578,-0.2522732609187072,-1.2138193301546494,-2.4312519950435187,-0.8431588447833469,1.9229429797561093,-1.938771454326636
0,0,0.1,-0.1414213562373095,-0.14142135623730948,0.09999999999999992,45,90.0,-90.0,0.11150336826525858,-0.5674887642306399,-1.1841011039701261,-2.222068824493009,-1.3610139806532926,1.6267325277282445,-1.8288817322695068
0,0,0.1,-0.1,-0.17320508075688776,0.09999999999999999,60,90.0,-90.0,0.10829837098100584,-0.6979635988985367,-1.2670071595090533,-1.871387664201366,-1.7458241370071037,1.5708105724725185,-1.566795035544107
0,0,0.1,-0.05176380902050415,-0.19318516525781368,0.09999999999999999,75,90.0,-90.0,0.07743540667273496,-0.5807613990419893,-1.418508447856775,-0.4738626078222563,1.4671916755742964,-1.872398815761508,2.804184761552469
0.0,-0.05,0.1,-3.140184917367551e-17,0.15000000000000008,0.1,-90,90.0,-90.0,0.037472195063511494,-2.6536696728780234,1.6250557669698789,-0.03295354447967664,-1.558395787835077,2.0580824110405183,-3.1165568141082787
0.0,-0.05,0.1,-0.05176380902050414,0.14318516525781372,0.09999999999999998,-75,90.0,-90.0,0.08703293688925971,-2.621424508018254,1.3704520944441843,0.6022664570121776,-1.4670276907768878,1.8077544567474988,-2.7263187285224624
0.0,-0.05,0.1,-0.10000000000000003,0.12320508075688773,0.09999999999999998,-60,90.0,-90.0,0.11549854636218414,-2.5735990168051184,1.2367233289187884,1.0137808392018723,-1.5417139910485702,1.6052578314032744,-2.4604491177717023
0.0,-0.05,0.1,-0.14142135623730953,0.09142135623730953,0.09999999999999998,-45,90.0,-90.0,0.131668846417439,-2.5282973416890355,1.1707303444870796,1.3512550444826432,-1.7113782058235751,1.470484286754927,-2.1827230874652463
0.0,-0.05,0.1,-0.17320508075688779,0.05,0.09999999999999998,-30,90.0,-90.0,0.12518701371859275,-2.499873541557646,1.1828753075299083,1.6487071587593425,-1.958542372015681,1.4494399995454308,-1.8561412091920453
0.0,-0.05,0.1,-0.19318516525781368,0.0017638090205041451,0.09999999999999996,-15,90.0,-90.0,0.10940086171981508,-2.5321872675666945,1.2883714713990464,1.9169403811198347,-2.2686625097709308,1.6117873578216833,-1.5226220546877995
0.0,-0.05,0.1,-0.2,-0.05,0.1,0,90.0,-90.0,0.09623565010059465,-2.707541004636916,1.4125562844322046,2.1496825142048124,-2.671610631646379,1.9493720351314887,-1.3842633816773835
0.0,-0.05,0.1,-0.19318516525781365,-0.10176380902050414,0.09999999999999994,15,90.0,-90.0,0.11701162798097989,-0.7821123973275549,-1.22139010836078,-1.775080322006116,2.093565823822254,-1.498900844527955,1.6956767304746856
0.0,-0.05,0.1,-0.17320508075688779,-0.15000000000000002,0.1,30,90.0,-90.0,0.13234486978589713,-0.7726289163602865,-1.165805930503844,-1.4896453287402556,1.8152458918841687,-1.4444385854274062,2.041030381694417
0.0,-0.05,0.1,-0.1414213562373095,-0.1914213562373095,0.09999999999999992,45,90.0,-90.0,0.12466187815951382,-0.7322294155550002,-1.1981794283250136,-1.1738202324530862,1.6084297788234594,-1.5336009030565305,2.3389681432385587
0.0,-0.05,0.1,-0.1,-0.22320508075688777,0.09999999999999999,60,90.0,-90.0,0.10151605780423571,-0.6847829417361042,-1.3008713002136425,-0.8033773118875964,1.488635570743068,-1.708574071004216,2.601919868882261
0.0,-0.05,0.1,-0.05176380902050415,-0.2431851652578137,0.09999999999999999,75,90.0,-90.0,0.06489999688855355,-0.64014614020692,-1.4819441535072022,-0.31028854560358793,1.4825297045708898,-1.94017554471503,2.902485178863516
0.0,-0.1,0.1,-0.05176380902050414,0.0931851652578137,0.09999999999999998,-75,90.0,-90.0,0.09464519214380103,0.46812684155802686,-1.3337124978076955,-0.7058776869891475,1.6655193024353754,1.7546699709115572,-2.663724893324705
0.0,-0.1,0.1,-0.10000000000000003,0.07320508075688772,0.09999999999999998,-60,90.0,-90.0,0.12046411559651451,0.5160193860410077,-1.2155172341392804,-1.0974017287748232,1.565639465499262,1.5644308746619322,-2.40008631455429
0.0,-0.1,0.1,-0.14142135623730953,0.041421356237309526,0.09999999999999998,-45,90.0,-90.0,0.13263906729197364,0.5587031464833438,-1.1665177301821568,-1.422973933051184,1.3767331415367803,1.4534521033040693,-2.11101220032154
0.0,-0.1,0.1,-0.17320508075688779,0.0,0.09999999999999998,-30,90.0,-90.0,0.12085919394376154,0.577899566167887,-1.19962830608923,-1.7146063462821772,1.1128860451557183,1.4681373836652638,-1.7752343865291311
0.0,-0.1,0.1,-0.19318516525781368,-0.04823619097949586,0.09999999999999996,-15,90.0,-90.0,0.10786715268202121,0.5186337182063743,-1.3216275639196384,-1.9743220208836618,0.7865637853829424,1.6798309988077071,-1.4607588078551421
0.0,-0.1,0.1,-0.2,-0.1,0.1,0,90.0,-90.0,0.0854018414552915,0.30092196905046414,-1.419321681351154,-2.200830448077046,0.3357931999060796,2.0262583671066317,-1.4178058613998998
0.0,-0.1,0.1,-0.19318516525781365,-0.15176380902050413,0.09999999999999994,15,90.0,-90.0,0.060184816036929045,-0.14798223674891145,-1.288655614288948,-2.420956203349798,-0.4755275913461499,2.086291735178075,-1.8205430072073425
0.0,-0.1,0.1,-0.17320508075688779,-0.2,0.1,30,90.0,-90.0,0.0962169825626299,-0.582610017533396,-1.1814561627748306,-2.321033899669661,-1.1330662610623945,1.7302309250027779,-1.8971631521010675
0.0,-0.1,0.1,-0.1414213562373095,-0.24142135623730948,0.09999999999999992,45,90.0,-90.0,0.11580060460871437,-0.7859809660171655,-1.2233141419838849,-2.031038155798741,-1.5710036827089369,1.5712398383531165,-1.6827407362562523
0.0,-0.1,0.1,-0.1,-0.27320508075688776,0.09999999999999999,60,90.0,-90.0,0.09244110602222709,-0.8494277719494484,-1.3531678571658603,-1.604251540257315,-1.8911117436863158,1.6299576440656698,-1.3952510973135632
0.0,-0.1,0.1,-0.05176380902050415,-0.2931851652578137,0.09999999999999999,75,90.0,-90.0,0.04727609120135241,-0.82104677937175,-1.595870993305377,-0.9649414303049326,-2.053271947020938,1.866103140098688,-1.0623258315204136
0.05,-0.1,0.1,-0.0017638090205041382,0.0931851652578137,0.09999999999999998,-75,90.0,-90.0,0.08040314414839209,0.44492570992954755,-1.4038214040097614,-0.5107670195125218,1.6323787860423886,1.742661666351725,-2.7922391990907696
0.05,-0.1,0.1,-0.05000000000000003,0.07320508075688772,0.09999999999999998,-60,90.0,-90.0,0.11107550570241005,0.48134621193024585,-1.2542609765758483,-0.9534590794193457,1.5447755720213483,1.5369487457857265,-2.5034479250303834
0.05,-0.1,0.1,-0.09142135623730953,0.041421356237309526,0.09999999999999998,-45,90.0,-90.0,0.12661555201974503,0.5125748423702738,-1.1802382481338085,-1.3015546662662676,1.354448804649276,1.4047634253735888,-2.211765673271222
0.05,-0.1,0.1,-0.12320508075688778,0.0,0.09999999999999998,-30,90.0,-90.0,0.12172119534713668,0.5233640448998969,-1.1858681850839137,-1.6074071290206677,1.0725379162000805,1.3986199249077162,-1.8743439034907237
0.05,-0.1,0.1,-0.14318516525781366,-0.04823619097949586,0.09999999999999996,-15,90.0,-90.0,0.11218229733969863,0.46246903001037665,-1.2672506684756202,-1.8804661885139218,0.7244699484493452,1.5744177463401232,-1.5660393345538082
0.05,-0.1,0.1,-0.15000000000000002,-0.1,0.1,0,90.0,-90.0,0.101219788199475,0.26117267880831646,-1.3373797397860585,-2.109795513986423,0.27372842362770955,1.8650264650326347,-1.4886160154089463
0.05,-0.1,0.1,-0.14318516525781366,-0.15176380902050413,0.09999999999999994,15,90.0,-90.0,0.07904385526340316,-0.1115299943551667,-1.2657786181053816,-2.278770768982212,-0.40231459429915906,1.9443636541605394,-1.72590201602477
0.05,-0.1,0.1,-0.12320508075688778,-0.2,0.1,30,90.0,-90.0,0.10510807652694099,-0.49098915519161357,-1.198909993598527,-2.1980239067276797,-1.0285216621736468,1.7037907256071123,-1.7881166824039152
0.05,-0.1,0.1,-0.0914213562373095,-0.24142135623730948,0.09999999999999992,45,90.0,-90.0,0.10906304616716674,-0.7010779215525641,-1.2552705936573876,-1.9113211550938176,-1.485496198672969,1.5720447493581557,-1.595827762064555
0.05,-0.1,0.1,-0.05,-0.27320508075688776,0.09999999999999999,60,90.0,-90.0,0.08010283934193127,-0.777971228368632,-1.4110444775522433,-1.4482706360152964,-1.8159129767481583,1.6417031380545826,-1.2980828793081842
